iter	MAPE	RMSE
200	74.34577458	288.6061922
201	74.24729387	288.4010812
202	74.16758745	288.238248
203	74.07792375	288.0624778
204	73.99135162	287.8883997
205	73.89432435	287.6852779
206	73.80028426	287.4912797
207	73.71213825	287.3183295
208	73.62388784	287.1425832
209	73.52214692	286.9287027
210	73.42388302	286.7191796
211	73.34305239	286.569738
212	73.26282401	286.398643
213	73.18334243	286.2372992
214	73.10411782	286.0769136
215	73.02728616	285.9168119
216	72.94566055	285.7336712
217	72.86604246	285.5530478
218	72.78464973	285.3905489
219	72.7065172	285.2349916
220	72.62860148	285.0661097
221	72.55643529	284.9244735
222	72.47447242	284.7756638
223	72.39303954	284.6074917
224	72.31631227	284.4558856
225	72.23084027	284.2841113
226	72.14298333	284.0879063
227	72.05561623	283.9020362
228	71.97615071	283.7267821
229	71.89594642	283.576213
230	71.82789163	283.4335132
231	71.74691646	283.283122
232	71.67039797	283.1254339
233	71.59677834	282.9651443
234	71.51799537	282.7955175
235	71.44577297	282.6309677
236	71.37225773	282.4781698
237	71.29723284	282.3310123
238	71.22696977	282.1767552
239	71.1495198	282.0071645
240	71.0755067	281.8455096
241	71.00127678	281.711186
242	70.92646067	281.5612475
243	70.85095397	281.3871655
244	70.77370475	281.2441736
245	70.69277776	281.0813046
246	70.61736742	280.9215463
247	70.54696785	280.7890063
248	70.46819291	280.6276019
249	70.39813863	280.4759261
250	70.32300935	280.3137841
251	70.2528587	280.1653577
252	70.18698005	280.0278937
253	70.11298301	279.8609233
254	70.03750843	279.7070532
255	69.96510134	279.5665991
256	69.90686731	279.4422443
257	69.83324768	279.2829322
258	69.76592362	279.1441794
259	69.69401439	278.9982549
260	69.62600777	278.8594341
261	69.55651559	278.7049226
262	69.49013105	278.5699997
263	69.4217149	278.4105577
264	69.35924903	278.2865727
265	69.28820705	278.1189117
266	69.21932515	277.9888069
267	69.15762214	277.8547644
268	69.09480294	277.715683
269	69.02547939	277.5754358
270	68.95752096	277.4195571
271	68.88932162	277.2667788
272	68.82052806	277.1131447
273	68.7622057	276.9913547
274	68.69831047	276.8508
275	68.63811711	276.7310488
276	68.57328237	276.591878
277	68.50695404	276.4467478
278	68.44923393	276.3275803
279	68.39186715	276.2182151
280	68.33077442	276.081109
281	68.27032409	275.9565244
282	68.20569813	275.8023543
283	68.14472585	275.6645342
284	68.09002505	275.5274211
285	68.01648572	275.3499425
286	67.95044647	275.2117614
287	67.89283076	275.073227
288	67.83723862	274.9496062
289	67.77645103	274.8095333
290	67.7136479	274.6774268
291	67.65593582	274.5426661
292	67.59428099	274.407989
293	67.54358719	274.3019954
294	67.48633283	274.1726886
295	67.43373591	274.0685691
296	67.38212668	273.9605382
297	67.32824093	273.8476605
298	67.26433768	273.7021868
299	67.20925545	273.5770749
300	67.14501494	273.4338028
301	67.08502634	273.3084176
302	67.02649118	273.171326
303	66.97520316	273.0498406
304	66.91554781	272.9084762
305	66.86681736	272.7965045
306	66.81487489	272.6785462
307	66.76341021	272.5463271
308	66.70719173	272.4170773
309	66.65877847	272.3039372
310	66.60107844	272.1711434
311	66.54591591	272.0339622
312	66.48099685	271.874498
313	66.42973694	271.7543997
314	66.37625671	271.6467955
315	66.3243584	271.5275049
316	66.26787492	271.402754
317	66.22006392	271.2966622
318	66.17434876	271.1861171
319	66.13173722	271.0934386
320	66.07339881	270.9597025
321	66.02304227	270.8449366
322	65.96008255	270.7015398
323	65.91110317	270.583033
324	65.86024476	270.4695057
325	65.79894324	270.33175
326	65.75402306	270.2204299
327	65.69984422	270.1035233
328	65.66015562	270.0041387
329	65.6112726	269.8988682
330	65.56198005	269.7915297
331	65.50921851	269.6787669
332	65.46178894	269.5664755
333	65.4029647	269.4166605
334	65.35200993	269.2762592
335	65.29381203	269.1392677
336	65.23780233	268.9940293
337	65.19101115	268.89214
338	65.13585665	268.7608422
339	65.09077988	268.6455196
340	65.04241882	268.5309742
341	64.99567983	268.4312831
342	64.93472762	268.2822747
343	64.89057431	268.1678041
344	64.84202052	268.0488212
345	64.7905719	267.9319031
346	64.74366026	267.8211052
347	64.6941509	267.7051627
348	64.65313735	267.6068848
349	64.61011226	267.5094775
350	64.56715944	267.4110968
351	64.51000145	267.2648117
352	64.46038769	267.1494126
353	64.41419073	267.0494829
354	64.37269939	266.9500857
355	64.32683969	266.8300976
356	64.28087961	266.7107646
357	64.23598754	266.6112256
358	64.19198278	266.5281555
359	64.15007789	266.4120979
360	64.1110317	266.3199965
361	64.06028571	266.2151996
362	64.0211793	266.1081211
363	63.9804227	266.0058065
364	63.94505428	265.9108741
365	63.89702245	265.7938044
366	63.85114669	265.698332
367	63.80876401	265.6035993
368	63.75879292	265.4863167
369	63.71648251	265.3818103
370	63.66952269	265.2599193
371	63.62973372	265.1708908
372	63.58124016	265.0553867
373	63.53095188	264.9363251
374	63.4889145	264.8355759
375	63.45375887	264.7464202
376	63.41301834	264.640736
377	63.37757364	264.5506755
378	63.33029663	264.4379323
379	63.29052372	264.3372731
380	63.25033325	264.2371512
381	63.20882584	264.1481671
382	63.16798092	264.0395342
383	63.12280779	263.9229118
384	63.07554283	263.8077496
385	63.02064128	263.6679948
386	62.9913195	263.588271
387	62.95092828	263.4842288
388	62.91457617	263.4008906
389	62.87592346	263.3065961
390	62.83826647	263.2232953
391	62.80191838	263.139437
392	62.75140526	263.0231502
393	62.71810458	262.9329108
394	62.67553721	262.8264818
395	62.63806492	262.7396019
396	62.59899464	262.6500165
397	62.56306411	262.5558517
398	62.5278041	262.4642142
399	62.50115633	262.392155
400	62.46852215	262.3180072
401	62.43056805	262.2238642
402	62.39335271	262.1402508
403	62.34645714	262.0210806
404	62.30973164	261.9237229
405	62.27140815	261.8327121
406	62.23335769	261.7334543
407	62.19411477	261.6366182
408	62.15924823	261.554609
409	62.11624321	261.4454173
410	62.08131645	261.3627503
411	62.04042335	261.2459403
412	62.00326422	261.1469318
413	61.9619937	261.0338289
414	61.9278579	260.9291148
415	61.89471782	260.8323741
416	61.86653631	260.7556936
417	61.82879099	260.6515776
418	61.79198519	260.5570061
419	61.7513892	260.4561019
420	61.71595654	260.349071
421	61.67348553	260.2478335
422	61.639956	260.1624471
423	61.61353708	260.0919396
424	61.57778322	259.9977022
425	61.53546077	259.8827307
426	61.49550718	259.7789928
427	61.45632448	259.6792825
428	61.41721003	259.579724
429	61.38691662	259.4974371
430	61.34772589	259.3926734
431	61.30306668	259.2873045
432	61.26669852	259.1715182
433	61.2308764	259.076573
434	61.18801593	258.9564692
435	61.15223798	258.863089
436	61.11378601	258.7610239
437	61.07688385	258.6572971
438	61.04211769	258.5712345
439	61.00629156	258.4670577
440	60.97330405	258.3740576
441	60.93005814	258.2531416
442	60.89852809	258.1532958
443	60.86384223	258.0371281
444	60.81956445	257.9293644
445	60.77685254	257.8205669
446	60.74402965	257.7380214
447	60.70223718	257.6264541
448	60.67495102	257.5432557
449	60.64536023	257.4650527
450	60.61531976	257.3779764
451	60.58602207	257.3015048
452	60.5429488	257.189932
453	60.50995327	257.0857712
454	60.4818641	256.9991343
455	60.45070343	256.9043065
456	60.42197989	256.8218427
457	60.39270629	256.733155
458	60.35351556	256.6264859
459	60.32528989	256.5472261
460	60.29668278	256.4661304
461	60.26654595	256.3912069
462	60.2374731	256.2938923
463	60.20899046	256.2072443
464	60.17111666	256.0964871
465	60.13511788	255.9945957
466	60.10687213	255.9108749
467	60.07698423	255.8169294
468	60.05119568	255.7433751
469	60.02001092	255.6611881
470	59.99025953	255.5818221
471	59.95008913	255.4615157
472	59.91567228	255.3527214
473	59.88307824	255.2441545
474	59.85146388	255.1588178
475	59.82143947	255.0724774
476	59.78408361	254.964928
477	59.75482205	254.8857968
478	59.72391032	254.787762
479	59.69834259	254.7099962
480	59.65719654	254.5855231
481	59.62144268	254.4906603
482	59.58611441	254.3910105
483	59.56002875	254.3315447
484	59.53159027	254.2483758
485	59.49560755	254.1546327
486	59.46657486	254.0735339
487	59.43700414	253.9801067
488	59.40898323	253.9016806
489	59.38034802	253.8193428
490	59.34715174	253.7180439
491	59.32508913	253.637624
492	59.29993094	253.5537492
493	59.27676822	253.4814845
494	59.24342739	253.37915
495	59.21690409	253.2969589
496	59.18748193	253.2040408
497	59.15933656	253.1168143
498	59.12898291	253.0218395
499	59.09715977	252.9291373
500	59.06204028	252.8262133
501	59.0348023	252.7531307
502	59.00669306	252.6599556
503	58.97539588	252.5726307
504	58.94681688	252.497822
505	58.91604969	252.4197986
506	58.87898291	252.3081284
507	58.85102223	252.2280577
508	58.81862493	252.1295194
509	58.78938345	252.0465701
510	58.76027447	251.9651027
511	58.72250907	251.8534676
512	58.70190794	251.7930677
513	58.67169884	251.7164674
514	58.64501895	251.640334
515	58.61154161	251.5415491
516	58.57953779	251.4483584
517	58.55355652	251.3675886
518	58.51813189	251.2686965
519	58.49949812	251.2052592
520	58.47234847	251.1236008
521	58.44566858	251.0471974
522	58.40864196	250.9451727
523	58.37531719	250.8515556
524	58.35311004	250.7852667
525	58.32399704	250.6985844
526	58.29821652	250.6212559
527	58.27586484	250.5546928
528	58.2454068	250.4600104
529	58.21828124	250.3797674
530	58.1900114	250.2907354
531	58.15759805	250.1888952
532	58.12759371	250.0968773
533	58.10043603	250.0201684
534	58.07594032	249.9407054
535	58.04976633	249.845453
536	58.02168519	249.759852
537	57.9965551	249.674584
538	57.96502505	249.5838178
539	57.92778964	249.4817137
540	57.90463094	249.4021863
541	57.87212925	249.3094328
542	57.83967173	249.2109036
543	57.81011306	249.1098763
544	57.78388687	249.0281251
545	57.75635981	248.9465205
546	57.7278049	248.8614859
547	57.69790897	248.7587962
548	57.67175104	248.6766734
549	57.65249896	248.6075307
550	57.63220698	248.5451427
551	57.60864677	248.4757069
552	57.58035284	248.3928532
553	57.55731057	248.3224643
554	57.53332878	248.2496705
555	57.51140269	248.1753975
556	57.48785854	248.1101915
557	57.46304966	248.031136
558	57.43647416	247.9428525
559	57.40985851	247.8591406
560	57.38153246	247.7639675
561	57.36050172	247.691715
562	57.33499823	247.6119282
563	57.3115384	247.5333779
564	57.28469389	247.4529918
565	57.26684708	247.3967441
566	57.24199403	247.307644
567	57.2151455	247.2246233
568	57.19304677	247.1591582
569	57.16153679	247.0689823
570	57.13353997	246.9813619
571	57.10404956	246.8963832
572	57.07580381	246.8001974
573	57.04940497	246.7163728
574	57.02741063	246.6422132
575	57.00500675	246.577052
576	56.98201266	246.5024835
577	56.96537838	246.4460023
578	56.94680484	246.3770596
579	56.92118893	246.2904785
580	56.89318007	246.2082671
581	56.86633556	246.1179682
582	56.84173144	246.0385734
583	56.81862895	245.9655634
584	56.79567902	245.8956416
585	56.77519834	245.8350239
586	56.75405518	245.7766411
587	56.73335368	245.7176422
588	56.70506777	245.6259829
589	56.67520396	245.5483629
590	56.64940738	245.4713716
591	56.6245463	245.39191
592	56.60180917	245.3239112
593	56.56949218	245.2198155
594	56.5439646	245.1325321
595	56.52000289	245.0587237
596	56.50018068	245.0027318
597	56.47451659	244.9300173
598	56.44818199	244.8535704
599	56.41879196	244.7655265
